step,actic loss,critic loss,average distance,time
2730,-579.6034,22164.3594,511.7934,0min36sec
2740,-577.5087,22089.5660,511.3895,0min37sec
2750,-575.4225,22015.4021,510.9939,0min36sec
2760,-573.3544,21941.7245,510.6010,0min36sec
2770,-571.3183,21868.6070,510.2027,0min40sec
2780,-569.2760,21795.6360,509.8070,0min37sec
2790,-567.2622,21723.2748,509.4155,0min37sec
2800,-565.2620,21651.1621,509.0188,0min36sec
2810,-563.2625,21579.8357,508.6289,0min39sec
2820,-561.2798,21509.0593,508.2465,0min34sec
2830,-559.3079,21438.7472,507.8632,0min36sec
2840,-557.3552,21368.7542,507.4777,0min34sec
2850,-555.4098,21299.4430,507.1011,0min36sec
2860,-553.5012,21230.4795,506.7301,0min37sec
2870,-551.5969,21162.1450,506.3609,0min33sec
2880,-549.7104,21094.2632,505.9959,0min38sec
2890,-547.8330,21027.3085,505.6453,0min35sec
2900,-545.9598,20960.1997,505.2879,0min37sec
2910,-544.0903,20893.8146,504.9309,0min35sec
2920,-542.2669,20828.2112,504.5820,0min37sec
2930,-540.4413,20762.7065,504.2258,0min36sec
2940,-538.6189,20697.3301,503.8651,0min39sec
2950,-536.7965,20632.9686,503.5154,0min36sec
2960,-534.9922,20569.4743,503.1813,0min34sec
2970,-533.2158,20505.5580,502.8339,0min37sec
2980,-531.4403,20441.9219,502.4887,0min33sec
2990,-529.6698,20379.0952,502.1522,0min34sec
3000,-527.9340,20316.5247,501.8181,0min34sec
3010,-526.1882,20254.4781,501.4889,0min40sec
3020,-524.4671,20192.7077,501.1575,0min35sec
3030,-522.7489,20131.4556,500.8281,0min34sec
3040,-521.0415,20070.2146,500.4949,0min36sec
3050,-519.3650,20010.7379,500.1872,0min34sec
3060,-517.6777,19951.1576,499.8763,0min34sec
3070,-516.0089,19891.1739,499.5475,0min35sec
3080,-514.3465,19831.4485,499.2236,0min36sec
3090,-512.6989,19772.4684,498.9126,0min37sec
3100,-511.0612,19713.6295,498.5935,0min38sec
3110,-509.4291,19655.3985,498.2893,0min37sec
3120,-507.8117,19597.4196,497.9744,0min35sec
3130,-506.2074,19539.9538,497.6646,0min36sec
3140,-504.6135,19482.9183,497.3610,0min35sec
3150,-503.0334,19426.2616,497.0554,0min37sec
3160,-501.4607,19369.6582,496.7440,0min35sec
3170,-499.9074,19313.5692,496.4434,0min37sec
3180,-498.3448,19257.8342,496.1433,0min38sec
3190,-496.7958,19202.2387,495.8445,0min37sec
3200,-495.2467,19147.4095,495.5486,0min37sec
3210,-493.7309,19092.6199,495.2515,0min36sec
3220,-492.2116,19038.0873,494.9560,0min39sec
3230,-490.7015,18983.9681,494.6652,0min34sec
3240,-489.2067,18930.5369,494.3777,0min36sec
3250,-487.7132,18876.9821,494.0868,0min34sec
3260,-486.2378,18823.7982,493.7983,0min36sec
3270,-484.7549,18770.9780,493.5143,0min34sec
